 generic den (log10(g/m3)),a0 CLW (mm),a0 rain (mm),a0 ice (mm),a0 snow (mm),a0 graupel (mm)                                                                                                                                                               
 -0.40404040E+00,0.36976902E-07,0.36976266E-07,0.36976902E-07,0.14812390E-06,0.92522261E-07                                                                                                                                                                
 -0.24242424E+00,0.53647154E-07,0.53646231E-07,0.53647154E-07,0.21490242E-06,0.13423396E-06                                                                                                                                                                
 -0.80808081E-01,0.77832834E-07,0.77831495E-07,0.77832834E-07,0.31178662E-06,0.19475049E-06                                                                                                                                                                
 0.80808081E-01,0.11292212E-06,0.11292017E-06,0.11292212E-06,0.45234900E-06,0.28254962E-06                                                                                                                                                                 
 0.24242424E+00,0.16383066E-06,0.16382784E-06,0.16383066E-06,0.65628095E-06,0.40993111E-06                                                                                                                                                                 
 0.40404040E+00,0.23769023E-06,0.23768614E-06,0.23769023E-06,0.95215128E-06,0.59473986E-06                                                                                                                                                                 
 0.56565657E+00,0.34484783E-06,0.34484189E-06,0.34484783E-06,0.13814085E-05,0.86286570E-06                                                                                                                                                                 
 0.72727273E+00,0.50031515E-06,0.50030654E-06,0.50031515E-06,0.20041872E-05,0.12518704E-05                                                                                                                                                                 
 0.88888889E+00,0.72587162E-06,0.72585913E-06,0.72587162E-06,0.29077324E-05,0.18162496E-05                                                                                                                                                                 
 0.10505051E+01,0.10531154E-05,0.10530973E-05,0.10531154E-05,0.42186219E-05,0.26350672E-05                                                                                                                                                                 
 0.12121212E+01,0.15278902E-05,0.15278639E-05,0.15278902E-05,0.61204981E-05,0.38230313E-05                                                                                                                                                                 
 0.13737374E+01,0.22167070E-05,0.22166689E-05,0.22167070E-05,0.88797947E-05,0.55465638E-05                                                                                                                                                                 
 0.15353535E+01,0.32160624E-05,0.32160070E-05,0.32160624E-05,0.12883062E-04,0.80471144E-05                                                                                                                                                                 
 0.16969697E+01,0.46659558E-05,0.46658756E-05,0.46659558E-05,0.18691117E-04,0.11674985E-04                                                                                                                                                                 
 0.18585859E+01,0.67695030E-05,0.67693865E-05,0.67695030E-05,0.27117610E-04,0.16938404E-04                                                                                                                                                                 
 0.20202020E+01,0.98213898E-05,0.98212208E-05,0.98213898E-05,0.39343009E-04,0.24574725E-04                                                                                                                                                                 
 0.21818182E+01,0.14249155E-04,0.14248910E-04,0.14249155E-04,0.57079970E-04,0.35653718E-04                                                                                                                                                                 
 0.23434343E+01,0.20673084E-04,0.20672728E-04,0.20673084E-04,0.82813263E-04,0.51727440E-04                                                                                                                                                                 
 0.25050505E+01,0.29993105E-04,0.29992589E-04,0.29993105E-04,0.12014787E-03,0.75047658E-04                                                                                                                                                                 
 0.26666667E+01,0.43514860E-04,0.43514112E-04,0.43514860E-04,0.17431398E-03,0.10888130E-03                                                                                                                                                                 
 0.28282828E+01,0.63132611E-04,0.63131525E-04,0.63132611E-04,0.25289974E-03,0.15796813E-03                                                                                                                                                                 
 0.29898990E+01,0.91594610E-04,0.91593034E-04,0.91594610E-04,0.36691422E-03,0.22918470E-03                                                                                                                                                                 
 0.31515152E+01,0.13288810E-03,0.13288581E-03,0.13288810E-03,0.53232971E-03,0.33250776E-03                                                                                                                                                                 
 0.33131313E+01,0.19279787E-03,0.19279456E-03,0.19279787E-03,0.77231926E-03,0.48241183E-03                                                                                                                                                                 
 0.34747475E+01,0.27971670E-03,0.27971189E-03,0.27971670E-03,0.11205030E-02,0.69989697E-03                                                                                                                                                                 
 0.36363636E+01,0.40582104E-03,0.40581406E-03,0.40582104E-03,0.16256580E-02,0.10154307E-02                                                                                                                                                                 
 0.37979798E+01,0.58877685E-03,0.58876672E-03,0.58877685E-03,0.23585514E-02,0.14732160E-02                                                                                                                                                                 
 0.39595960E+01,0.85421439E-03,0.85419970E-03,0.85421439E-03,0.34218543E-02,0.21373842E-02                                                                                                                                                                 
 0.41212121E+01,0.12393188E-02,0.12392975E-02,0.12393188E-02,0.49645247E-02,0.31009785E-02                                                                                                                                                                 
 0.42828283E+01,0.17980394E-02,0.17980085E-02,0.17980394E-02,0.72026753E-02,0.44989889E-02                                                                                                                                                                 
 0.44444444E+01,0.26086473E-02,0.26086025E-02,0.26086473E-02,0.10449849E-01,0.65272626E-02                                                                                                                                                                 
 0.46060606E+01,0.37847006E-02,0.37846355E-02,0.37847006E-02,0.15160941E-01,0.94699404E-02                                                                                                                                                                 
